states,year,proportion,igt,lg(igt),f,cl,population,lg(pl),wapw,mhi
Washington,2003,0.02086041,6973926000,9.843477335,4,democratic,6104.115,3.785622707,0.6828,65.02
Pennsylvania,2003,0.04359888,14575716000,10.1636299,3,swing,12374.658,4.092533205,0.6558,58.759
Iowa,2003,,,,3,swing,2941.999,3.468642521,0.6507,56.639
Nevada,2003,0.00497383,1662820264,9.220845308,2,swing,2248.85,3.351960489,0.6743,61.84
Wisconsin,2003,0.01790131,5984658000,9.777039337,3,swing,5479.203,3.738717391,0.667,63.324
Ohio,2003,0.038798,12970713000,10.11296385,1,swing,11434.788,4.058228117,0.6612,59.562
Florida,2003,,,,1,swing,17004.085,4.230553267,,53.338
Wyoming,2004,0.00185278,629993930,8.799336365,3,republican,509.106,2.706808215,0.6815,60.497
Idaho,2004,0.00504792,1716422828,9.234624282,1,republican,1391.802,3.143577456,0.6565,59.112
Kansas,2004,0.00793219,2697149000,9.430904939,3,republican,2734.373,3.436857757,0.657,54.725
Nebraska,2004,0.00633228,2153141000,9.333072471,1,republican,1749.37,3.242881675,0.6557,58.35
North Dakota,2004,0.00289542,984518807,8.993224017,1,republican,644.705,2.809361038,0.6657,52.265
Utah,2004,0.00675074,2295428000,9.360863675,1,republican,2401.58,3.380497058,0.6514,67.791
Maryland,2004,0.01727036,5872371000,9.768813485,2,democratic,5546.935,3.744053077,0.6805,76.096
Massachusetts,2004,0.02534937,8619445000,9.935479303,2,democratic,6412.281,3.807012546,0.6774,69.321
Rhode Island,2004,0.00543253,1847200000,9.26651392,2,democratic,1074.579,3.031238349,0.672,63.879
New York State,2004,0.11246493,38241000000,10.58252924,2,democratic,19171.567,4.282657612,0.6736,59.5
Delaware,2004,0.00247585,841852000,8.925235748,3,democratic,830.803,2.919498056,0.6694,64.031
Washington,2004,0.0226499,7701554000,9.886578365,4,democratic,6178.645,3.790893243,0.6841,66.527
Pennsylvania,2004,0.04817013,16379096000,10.21428993,3,swing,12410.722,4.093797048,0.6588,58.776
Iowa,2004,,,,3,swing,2953.635,3.470356826,0.6522,57.823
Nevada,2004,0.00536936,1825722763,9.26143483,2,swing,2346.222,3.370369103,0.6756,62.905
Wisconsin,2004,0.01799332,6118198000,9.786623528,3,swing,5514.026,3.74146881,0.6688,60.943
Ohio,2004,0.04051268,13775366000,10.13910315,1,swing,11452.251,4.058890858,0.6629,57.376
Florida,2004,,,,1,swing,17415.318,4.240931409,,54.017
Wyoming,2005,0.00187694,647769062,8.811420202,3,republican,514.157,2.711095753,0.6822,57.639
Idaho,2005,0.00509305,1757713000,9.244947965,1,republican,1428.241,3.154801496,0.6562,56.941
Kansas,2005,0.00843339,2910532000,9.463972379,3,republican,2745.299,3.438589652,0.6586,54.171
Nebraska,2005,0.00618228,2133629000,9.329118906,1,republican,1761.497,3.245881908,0.6574,61.77
North Dakota,2005,0.00304624,1051319265,9.021734623,1,republican,646.089,2.810292347,0.6683,54.383
Utah,2005,0.00685786,2366786000,9.374158992,1,republican,2457.719,3.390532227,0.6509,70.651
Maryland,2005,0.01714254,5916233000,9.77204527,2,democratic,5592.379,3.747596596,0.6833,77.997
Massachusetts,2005,0.0244052,8422722000,9.925452467,2,democratic,6403.29,3.806403171,0.6806,72.203
Rhode Island,2005,0.00545927,1884104000,9.275104872,2,democratic,1067.916,3.028537093,0.6764,63.782
New York State,2005,0.10859991,37480000000,10.57379958,2,democratic,19132.61,4.281774219,0.6769,60.808
Delaware,2005,0.00258663,892699000,8.950705048,3,democratic,845.15,2.926933796,0.671,66.039
Washington,2005,0.02320959,8010092000,9.903637504,4,democratic,6257.305,3.796387324,0.6862,65.28
Pennsylvania,2005,0.04805672,16585336000,10.21972427,3,swing,12449.99,4.095169003,0.6621,59.678
Iowa,2005,,,,3,swing,2964.454,3.471944716,0.6539,59.936
Nevada,2005,0.00563175,1943629791,9.288613547,2,swing,2432.143,3.385989106,0.6779,62.139
Wisconsin,2005,0.01854362,6399774000,9.806164638,3,swing,5546.166,3.743992864,0.6709,57.552
Ohio,2005,0.04242211,14640717000,10.16556235,1,swing,11463.32,4.059310416,0.665,56.975
Florida,2005,,,,1,swing,17842.038,4.25144446,,55.412
Wyoming,2006,0.00189457,634097872,8.802156296,3,republican,522.667,2.718225081,0.6829,58.73
Idaho,2006,0.00539824,1806749000,9.256897823,1,republican,1468.669,3.166923928,0.6553,57.696
Kansas,2006,0.00908913,3042060000,9.483167776,3,republican,2762.931,3.441370039,0.6595,56.871
Nebraska,2006,0.00644257,2156278000,9.333704752,1,republican,1772.693,3.24863353,0.6579,60.108
North Dakota,2006,0.0031957,1069574549,9.02921106,1,republican,649.422,2.812526997,0.67,51.246
Utah,2006,0.00754133,2524022000,9.402093136,1,republican,2525.507,3.402348577,0.6493,68.202
Maryland,2006,0.01828124,6118583000,9.786650856,2,democratic,5627.367,3.750305239,0.6856,79.488
Massachusetts,2006,0.02637802,8828513000,9.945887561,2,democratic,6410.084,3.806863721,0.6834,69.078
Rhode Island,2006,0.00586323,1962375000,9.292782002,2,democratic,1063.096,3.026572484,0.6799,67.088
New York State,2006,0.1091272,36524000000,10.56257833,2,democratic,19104.631,4.281138654,0.6799,60.204
Delaware,2006,0.00282692,946147000,8.975958617,3,democratic,859.268,2.934128639,0.6713,65.468
Washington,2006,0.02418738,8095322000,9.908234128,4,democratic,6370.753,3.804190767,0.6873,68.321
Pennsylvania,2006,0.04884483,16347975000,10.21346396,3,swing,12510.809,4.097285394,0.6644,60.523
Iowa,2006,,,,3,swing,2982.644,3.47460142,0.6546,60.084
Nevada,2006,0.00589437,1972799139,9.29508287,2,swing,2522.658,3.401858377,0.6793,65.273
Wisconsin,2006,0.01861647,6230782000,9.794542557,3,swing,5577.655,3.746451648,0.672,64.536
Ohio,2006,0.04607548,15421095000,10.18811521,1,swing,11481.213,4.059987774,0.6661,57.305
Florida,2006,,,,1,swing,18166.99,4.259282977,,57.026
Wyoming,2007,0.00182787,655942513,8.816865779,7,republican,534.876,2.728253111,0.6813,59.178
Idaho,2007,0.00525028,1884099000,9.275103719,5,republican,1505.105,3.177566798,0.6536,59.712
Kansas,2007,0.00861442,3091345000,9.490147476,7,republican,2783.785,3.44463569,0.6588,58.878
Nebraska,2007,0.0062021,2225668000,9.347460382,5,republican,1783.44,3.251258503,0.6576,59.7
North Dakota,2007,0.00292502,1049663315,9.021050019,5,republican,652.822,2.814794782,0.6706,57.309
Utah,2007,0.00691088,2480016000,9.394454483,5,republican,2597.746,3.414596685,0.6476,64.987
Maryland,2007,0.01785439,6407172000,9.806666383,8,democratic,5653.408,3.752310329,0.6864,79.678
Massachusetts,2007,0.02601423,9335388000,9.970132373,8,democratic,6431.559,3.808316258,0.6846,70.977
Rhode Island,2007,0.00520914,1869336000,9.27168737,6,democratic,1057.315,3.024204394,0.6817,65.814
New York State,2007,0.10634598,38163000000,10.58164251,8,democratic,19132.335,4.281767977,0.6814,59.421
Delaware,2007,0.00273886,982859000,8.992491219,7,democratic,871.749,2.940391458,0.671,66.274
Washington,2007,0.02317715,8317282000,9.919981427,8,democratic,6461.587,3.810339196,0.6872,70.512
Pennsylvania,2007,0.04706948,16891212000,10.22766081,8,swing,12563.937,4.09912575,0.6657,58.805
Iowa,2007,,,,8,swing,2999.212,3.477007165,0.6545,59.377
Nevada,2007,0.00587676,2108915934,9.324059268,6,swing,2601.072,3.415152374,0.6792,65.629
Wisconsin,2007,0.01791249,6428024000,9.80807749,7,swing,5610.775,3.749022853,0.6719,62.253
Ohio,2007,0.04364733,15663148000,10.19487905,7,swing,11500.468,4.060715514,0.6662,59.609
Florida,2007,,,,5,swing,18367.842,4.264058135,,55.596
Wyoming,2008,0.00171509,649367452,8.812490517,7,republican,546.043,2.737226844,0.6787,62.359
