states,year,proportion,igt,lg(igt),f,cl,population,lg(pl),wapw,mhi
Wisconsin,2015,0.01735759,9515239000,9.978419701,9,swing,5760.94,3.760493352,0.6591,58.745
Ohio,2015,0.04475459,24533971000,10.38976785,9,swing,11617.527,4.06511369,0.6549,56.494
Florida,2015,,,,9,swing,20209.042,4.305545726,,51.75
Wyoming,2016,0.00140092,803950948,8.905229552,9,republican,584.215,2.766572703,0.649,60.513
Idaho,2016,0.00467248,2681411000,9.428363387,9,republican,1682.38,3.225924097,0.6344,59.189
Kansas,2016,0.00673951,3867624000,9.587444247,9,republican,2910.844,3.464018931,0.6452,59.446
Nebraska,2016,0.00474017,2720258000,9.434610096,9,republican,1905.616,3.280035391,0.6413,62.129
North Dakota,2016,0.00281945,1618003233,9.208979385,9,republican,754.434,2.877621252,0.6565,62.977
Utah,2016,0.00622733,3573699000,9.553117971,9,republican,3041.868,3.483140364,0.6409,70.613
Maryland,2016,0.01916737,10999638000,10.04137839,10,democratic,6003.323,3.778391711,0.6685,77.183
Massachusetts,2016,0.02654358,15232645000,10.18277532,10,democratic,6823.608,3.83401407,,75.62
Rhode Island,2016,0.0049924,2865006000,9.457125536,12,democratic,1056.77,3.023980476,0.674,64.383
New York State,2016,0.10068604,57781000000,10.76178505,12,democratic,19633.428,4.292996134,0.6685,64.288
Delaware,2016,0.00382282,2193813000,9.341199606,12,democratic,948.921,2.977230058,0.6461,60.74
Washington,2016,0.02619662,15033533000,10.17706106,12,democratic,7294.771,3.863011663,0.6664,73.573
Pennsylvania,2016,0.04727589,27130356000,10.43345549,11,swing,12782.275,4.106608157,0.6538,63.809
Iowa,2016,,,,9,swing,3131.371,3.495734525,,61.836
Nevada,2016,0.00870738,4996931029,9.698703355,9,swing,2917.563,3.465020243,0.6572,58.003
Wisconsin,2016,0.01633484,9374125000,9.97193074,9,swing,5772.628,3.761373572,0.6562,62.593
Ohio,2016,0.04579707,26281700000,10.41965345,9,swing,11634.37,4.065742871,0.6523,56.49
Florida,2016,,,,9,swing,20613.477,4.314151253,,53.551
Wyoming,2017,0.0015521,889186441,8.948992832,1,republican,578.931,2.762626805,0.6438,60.987
Idaho,2017,0.00471944,2703724000,9.431962356,1,republican,1717.715,3.234951108,0.6325,60.947
Kansas,2017,0.00695344,3983564000,9.600271799,1,republican,2908.718,3.463701618,0.6423,58.287
Nebraska,2017,0.00482976,2766923000,9.441997073,1,republican,1915.947,3.282383491,0.6385,61.035
North Dakota,2017,0.00295788,1694545184,9.229053154,1,republican,754.942,2.877913587,0.6508,61.634
Utah,2017,0.00668315,3828715000,9.58305304,1,republican,3101.042,3.491507648,0.642,71.49
Maryland,2017,0.02089531,11970737000,10.07812089,2,democratic,6023.868,3.779875447,,84.094
Massachusetts,2017,0.02717286,15567087000,10.19220735,2,democratic,6859.789,3.836310757,0.6749,78.102
Rhode Island,2017,0.00517784,2966335000,9.472220196,4,democratic,1055.673,3.023529414,0.6713,66.995
New York State,2017,0.10727346,61456000000,10.78856429,4,democratic,19589.572,4.292024947,0.6652,63.043
Delaware,2017,0.00377882,2164853000,9.335428412,4,democratic,956.823,2.980831606,0.6417,66.545
Washington,2017,0.0268288,15369978000,10.18667325,4,democratic,7423.362,3.870600639,0.6638,73.284
Pennsylvania,2017,0.05190284,29734671000,10.47326314,3,swing,12787.641,4.106790435,0.6503,62.779
Iowa,2017,,,,1,swing,3141.55,3.497143976,,65.014
Nevada,2017,0.00911954,5224500450,9.718044771,2,swing,2969.905,3.472742558,0.655,59.456
Wisconsin,2017,0.01603654,9187189000,9.963182651,1,swing,5790.186,3.762692515,0.6527,65.029
Ohio,2017,0.0458822,26285500000,10.41971624,1,swing,11659.65,4.066685514,0.6494,62.167
Florida,2017,,,,1,swing,20963.613,4.321466134,,54.38
Wyoming,2018,0.00157625,924432541,8.965875225,1,republican,577.601,2.761627936,0.6395,62.539
Idaho,2018,0.00491761,2884057000,9.460003839,1,republican,1750.536,3.243171047,0.6309,58.728
Kansas,2018,0.00675004,3958728000,9.597555663,1,republican,2911.359,3.464095762,0.6401,63.938
Nebraska,2018,0.00470097,2756999000,9.440436609,1,republican,1925.614,3.284569235,0.6359,67.575
North Dakota,2018,0.00279902,1641554845,9.215255397,1,republican,758.08,2.879715039,0.6457,66.505
Utah,2018,0.00663908,3893654000,9.590357356,1,republican,3153.55,3.498799721,,77.067
Maryland,2018,0.02005544,11762012000,10.07048162,2,democratic,6035.802,3.780734985,0.6614,86.223
Massachusetts,2018,0.02784562,16330758000,10.21300634,2,democratic,6882.635,3.837754739,0.6723,86.345
Rhode Island,2018,0.0050917,2986155000,9.475112347,4,democratic,1058.287,3.024603461,0.6686,62.266
New York State,2018,0.111512,65399000000,10.81557111,4,democratic,19530.351,4.290710049,0.662,67.274
Delaware,2018,0.00395554,2319825000,9.365455224,4,democratic,965.479,2.984742832,0.6373,65.012
Washington,2018,0.02667856,15646311000,10.19441196,4,democratic,7523.869,3.876441225,0.661,79.726
Pennsylvania,2018,0.04988696,29257457000,10.46623658,3,swing,12800.922,4.107241251,0.6468,64.524
Iowa,2018,,,,1,swing,3148.618,3.498119974,,68.718
Nevada,2018,0.0091641,5374515683,9.730339335,2,swing,3027.341,3.481061343,0.6532,61.864
Wisconsin,2018,0.01655804,9710876000,9.987258409,1,swing,5807.406,3.763982189,0.6495,62.629
Ohio,2018,0.04483494,26294572000,10.41986611,1,swing,11676.341,4.06730677,0.646,61.633
Florida,2018,,,,1,swing,21244.317,4.327242773,,54.644
Wyoming,2019,0.00139476,858345914,8.933662344,5,republican,578.759,2.762497758,0.6357,65.666
Idaho,2019,0.00501651,3087193000,9.489563781,5,republican,1787.065,3.252140349,0.6298,61.664
Kansas,2019,0.00679889,4184075000,9.621599461,7,republican,2913.314,3.464387296,0.6372,67.135
Nebraska,2019,0.04630593,28496947000,10.45479833,5,republican,1934.408,3.28654808,0.6332,70.954
North Dakota,2019,0.00275002,1692379718,9.228497812,5,republican,762.062,2.881990306,,69.83
Utah,2019,0.00645594,3973026000,9.599121407,5,republican,3205.958,3.505957829,0.6442,80.92
Maryland,2019,0.02011514,12378980000,10.09268486,6,democratic,6045.68,3.781445156,0.6577,90.534
Massachusetts,2019,0.02653195,16327923000,10.21293094,6,democratic,6892.503,3.838376964,0.6695,90.662
Rhode Island,2019,0.00505995,3113925000,9.493308148,8,democratic,1059.361,3.02504398,0.6654,65.379
New York State,2019,0.10736652,66074000000,10.8200306,8,democratic,19453.561,4.288999111,0.6586,70.638
Delaware,2019,0.0037342,2298049000,9.361359285,8,democratic,973.764,2.988453715,0.6328,68.263
Washington,2019,0.02593945,15963291000,10.20312243,8,democratic,7614.893,3.881663805,0.6583,83.712
Pennsylvania,2019,0.0503336,30975599000,10.49101971,7,swing,12801.989,4.10727745,0.6433,67.75
Iowa,2019,,,,5,swing,3155.07,3.499008999,,72.154
Nevada,2019,0.0093239,5737983599,9.758759303,8,swing,3080.156,3.488572713,0.6514,64.957
Wisconsin,2019,0.01653445,10175398000,10.00755141,7,swing,5822.434,3.765104574,0.6459,65.76
Ohio,2019,0.04357113,26813932000,10.4283605,5,swing,11689.1,4.067781074,0.6426,64.715
Florida,2019,,,,5,swing,21477.737,4.33198852,,57.376
